pub_date	title	venue	excerpt	citation	url_slug	paper_url
2013-08-01	"Cinematic-Quality VoD in a P2P Storage Cloud: Design, Implementation and Measurements"	IEEE Journal on Selected Areas in Communications (JSAC)	Abstract	Todo	Cinematic-Quality-VoD-in-a-P2P-Storage-Cloud	https://JiahaiHu.github.io/files/jsac2013-fangmingliu.pdf
2013-02-01	Peer-Assisted On-Demand Streaming: Characterizing Demands and Optimizing Supplies	IEEE Transactions on Computers	Abstract	Todo	Peer-Assisted-On-Demand-Streaming	https://ieeexplore.ieee.org/abstract/document/6081856
2012-07-01	Flash Crowd in P2P Live Streaming Systems: Fundamental Characteristics and Design Implications	IEEE Transactions on Parallel and Distributed Systems	Abstract	Todo	Flash-Crowd-in-P2P-Live-Streaming-Systems	https://ieeexplore.ieee.org/abstract/document/6095525/
2015-01-01	Network-Aware Task Assignment for MapReduce Applications in Shared Clusters	Journal of Internet Technology	Abstract	Todo	Network-Aware-Task-Assignment-for-MapReduce-Applications-in-Shared-Clusters	https://JiahaiHu.github.io/files/jit-netaware.pdf
2014-01-01	Reliability-aware Server Consolidation for Balancing Energy-Lifetime Tradeoff in Virtualized Cloud Datacenters	International Journal of Communication Systems (IJCS)	Abstract	Todo	Reliability-aware-Server-Consolidation-for-Balancing-Energy-Lifetime-Tradeoff-in-Virtualized-Cloud-Datacenters	https://JiahaiHu.github.io/files/ijcs2013.pdf
2013-01-01	eTime: Energy-Efficient Mobile Cloud Computing for Rich-Media Applications	"IEEE COMSOC MMTC E-Letter (IEEE Communications Society, Multimedia Communications Technical Committee)"	Abstract	Todo	Energy-Efficient-Mobile-Cloud-Computing-for-Rich-Media-Applications	http://mmc.committees.comsoc.org/files/2016/04/E-Letter-January13.pdf
2012-02-01	Collaborative Caching in Wireless Video Streaming Through Resource Auctions	IEEE Journal on Selected Areas in Communications (JSAC)	Abstract	Todo	Collaborative-Caching-in-Wireless-Video-Streaming-Through-Resource-Auctions	https://ieeexplore.ieee.org/document/6136831
2010-01-01	FS2You: Peer-Assisted Semi-Persistent Online Hosting at a Large Scale	IEEE Transactions on Parallel and Distributed Systems	Abstract	Todo	Peer-Assisted-Semi-Persistent-Online-Hosting-at-a-Large-Scale	https://ieeexplore.ieee.org/abstract/document/5406508
2010-10-01	"The Disparity between P2P Overlays and ISP Underlays: Issues, Existing Solutions, and Challenges"	IEEE Network Magazine	Abstract	Todo	The-Disparity-between-P2P-Overlays-and-ISP-Underlays	https://ieeexplore.ieee.org/abstract/document/5634441
2013-03-01	Leveraging Renewable Energy in Cloud Computing Datacenters: State of the Art and Future Research	Chinese Journal of Computers	Abstract	Todo	Leveraging-Renewable-Energy-in-Cloud-Computing-Datacenters	https://JiahaiHu.github.io/files/green-energy-datacenter.pdf
2009-04-01	The Sink Node Placement and Performance Implication in Mobile Sensor Networks	CM/Springer Journal on Mobile Networks and Applications (MONET)	Abstract	Todo	The-Sink-Node-Placement-and-Performance-Implication-in-Mobile-Sensor-Networks	https://link.springer.com/article/10.1007/s11036-009-0158-5
2017-01-01	Software Defined Networking: Technologies and Solutions toward an Open Network Eco-System	Science Foundation in China	Abstract	Todo	Technologies-and-Solutions-toward-an-Open-Network-Eco-System	
2019-06-22	Fine-grained Warm Water Cooling for Improving Datacenter Economy	Proc. of ACM/IEEE ISCA	Abstract	Todo	Fine-grained-Warm-Water-Cooling-for-Improving-Datacenter-Economy	https://JiahaiHu.github.io/files/ISCA2019-Datacenter-WaterCooling-FangmingLiu.pdf
2019-07-10	PostMan: Rapidly Mitigating Bursty Traffic by Offloading Packet Processing	Proc. of USENIX ATC	Abstract	Todo	Rapidly-Mitigating-Bursty-Traffic-by-Offloading-Packet-Processing	https://JiahaiHu.github.io/files/Postman-ATC19-FangmingLiu.pdf
2019-07-07	Data-driven Task Allocation for Multi-task Transfer Learning on the Edge	Proc. of IEEE ICDCS	Abstract	Todo	Data-driven-Task-Allocation-for-Multi-task-Transfer-Learning-on-the-Edge	https://JiahaiHu.github.io/files/ICDCS2019-ML-on-Edge.pdf
